"No.","Time","Source","Destination","Protocol","Length","Info"
"2165","18.911920879","3.213.217.94","10.74.18.53","TCP","54","5021  >  80 [SYN] Seq=0 Win=512 Len=0"
"2166","18.913905205","0.0.0.0","255.255.255.255","DHCP","346","DHCP Request  - Transaction ID 0xfb9f4759"
"2167","18.919170116","10.74.16.43","239.254.127.63","UDP","130","48000  >  48000 Len=88"
"2168","18.922104509","215.10.30.132","10.74.18.53","TCP","54","5022  >  80 [SYN] Seq=0 Win=512 Len=0"
"2169","18.932218369","173.23.153.50","10.74.18.53","TCP","54","5023  >  80 [SYN] Seq=0 Win=512 Len=0"
"2170","18.942420940","119.134.84.76","10.74.18.53","TCP","54","5024  >  80 [SYN] Seq=0 Win=512 Len=0"
"2171","18.952610486","164.1.119.44","10.74.18.53","TCP","54","5025  >  80 [SYN] Seq=0 Win=512 Len=0"
"2172","18.962849996","161.162.159.248","10.74.18.53","TCP","54","5026  >  80 [SYN] Seq=0 Win=512 Len=0"
"2173","18.968339150","UniversalGlo_b0:98:09","Broadcast","ARP","60","Who has 10.74.16.1? Tell 10.74.17.135"
"2174","18.969002721","fe80::4fa1:f0ed:ed6c:45e0","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2175","18.972987558","125.240.243.213","10.74.18.53","TCP","54","5027  >  80 [SYN] Seq=0 Win=512 Len=0"
"2176","18.983165831","139.35.72.1","10.74.18.53","TCP","54","5028  >  80 [SYN] Seq=0 Win=512 Len=0"
"2177","18.993338744","97.57.144.122","10.74.18.53","TCP","54","5029  >  80 [SYN] Seq=0 Win=512 Len=0"
"2178","19.003583197","122.145.209.96","10.74.18.53","TCP","54","5030  >  80 [SYN] Seq=0 Win=512 Len=0"
"2179","19.010291630","10.74.17.135","224.0.0.252","LLMNR","66","Standard query 0x9412 ANY julian"
"2180","19.010292021","fe80::4fa1:f0ed:ed6c:45e0","ff02::1:3","LLMNR","86","Standard query 0x9412 ANY julian"
"2181","19.010315478","fe80::4fa1:f0ed:ed6c:45e0","ff02::1:2","DHCPv6","120","Information-request XID: 0x441c75 CID: 000100012f25590a606d3cfccf76 "
"2182","19.012766448","fe80::4fa1:f0ed:ed6c:45e0","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2183","19.013721233","217.57.19.130","10.74.18.53","TCP","54","5031  >  80 [SYN] Seq=0 Win=512 Len=0"
"2184","19.023835214","22.102.182.233","10.74.18.53","TCP","54","5032  >  80 [SYN] Seq=0 Win=512 Len=0"
"2185","19.033948036","210.124.23.27","10.74.18.53","TCP","54","5033  >  80 [SYN] Seq=0 Win=512 Len=0"
"2186","19.044060458","159.44.47.139","10.74.18.53","TCP","54","5034  >  80 [SYN] Seq=0 Win=512 Len=0"
